name,url,test_type,description
Verify Numerical Ability,https://www.shl.com/solutions/products/verify-numerical-ability,Knowledge & Skills,Measures numerical reasoning ability
Verify Verbal Ability,https://www.shl.com/solutions/products/verify-verbal-ability,Knowledge & Skills,Measures verbal reasoning ability
Verify Logical Ability,https://www.shl.com/solutions/products/verify-logical-ability,Knowledge & Skills,Measures logical reasoning
Java Programming Test,https://www.shl.com/solutions/products/java-programming,Knowledge & Skills,Measures Java coding skills
Python Programming Test,https://www.shl.com/solutions/products/python-programming,Knowledge & Skills,Measures Python proficiency
SQL Skills Test,https://www.shl.com/solutions/products/sql-skills,Knowledge & Skills,Measures SQL querying ability
OPQ32 Personality Questionnaire,https://www.shl.com/solutions/products/opq32,Personality & Behavior,Measures workplace personality traits
Motivation Questionnaire MQ,https://www.shl.com/solutions/products/motivation-questionnaire,Personality & Behavior,Measures work motivation
Collaborative Teamwork Assessment,https://www.shl.com/solutions/products/collaborative-teamwork,Personality & Behavior,Measures collaboration skills
Leadership Judgement Indicator,https://www.shl.com/solutions/products/leadership-judgement,Personality & Behavior,Measures leadership decision making

